id,name,country,last_monitoring_date,enrollment_target
SITE-077,Synthetic Research Center 077,IN,2026-05-15,30
SITE-078,Synthetic Research Center 078,AU,2026-07-13,30
SITE-079,Synthetic Research Center 079,BR,2026-09-10,30
SITE-080,Synthetic Research Center 080,JP,2026-05-25,30
SITE-081,Synthetic Research Center 081,US,2026-04-20,30
SITE-082,Synthetic Research Center 082,CA,2026-08-12,30
SITE-083,Synthetic Research Center 083,GB,2026-04-25,30
SITE-084,Synthetic Research Center 084,DE,2026-07-25,30
SITE-085,Synthetic Research Center 085,IN,2026-07-06,30
SITE-086,Synthetic Research Center 086,AU,2026-04-30,30
SITE-087,Synthetic Research Center 087,BR,2026-07-16,30
SITE-088,Synthetic Research Center 088,JP,2026-06-19,30
SITE-089,Synthetic Research Center 089,US,2026-05-07,30
SITE-090,Synthetic Research Center 090,CA,2026-08-11,30
SITE-091,Synthetic Research Center 091,GB,2026-04-24,30
SITE-092,Synthetic Research Center 092,DE,2026-07-21,30
SITE-093,Synthetic Research Center 093,IN,2026-05-13,30
SITE-094,Synthetic Research Center 094,AU,2026-06-11,30
SITE-095,Synthetic Research Center 095,BR,2026-05-01,30
SITE-096,Synthetic Research Center 096,JP,2026-05-19,30
SITE-097,Synthetic Research Center 097,US,2026-07-27,30
SITE-098,Synthetic Research Center 098,CA,2026-08-13,30
SITE-099,Synthetic Research Center 099,GB,2026-08-14,30
SITE-100,Synthetic Research Center 100,DE,2026-05-05,30
SITE-101,Synthetic Research Center 101,IN,2026-07-25,30
SITE-102,Synthetic Research Center 102,AU,2026-08-17,30
SITE-103,Synthetic Research Center 103,BR,2026-08-13,30
SITE-104,Synthetic Research Center 104,JP,2026-08-22,30
SITE-105,Synthetic Research Center 105,US,2026-04-26,30
SITE-106,Synthetic Research Center 106,CA,2026-05-13,30
SITE-107,Synthetic Research Center 107,GB,2026-05-16,30
SITE-108,Synthetic Research Center 108,DE,2026-08-14,30
SITE-109,Synthetic Research Center 109,IN,2026-06-11,30
SITE-110,Synthetic Research Center 110,AU,2026-07-07,30
SITE-111,Synthetic Research Center 111,BR,2026-09-08,30
SITE-112,Synthetic Research Center 112,JP,2026-08-28,30
SITE-113,Synthetic Research Center 113,US,2026-09-08,30
SITE-114,Synthetic Research Center 114,CA,2026-05-11,30
SITE-115,Synthetic Research Center 115,GB,2026-06-28,30
SITE-116,Synthetic Research Center 116,DE,2026-07-14,30
SITE-117,Synthetic Research Center 117,IN,2026-06-14,30
SITE-118,Synthetic Research Center 118,AU,2026-06-17,30
SITE-119,Synthetic Research Center 119,BR,2026-06-12,30
SITE-120,Synthetic Research Center 120,JP,2026-06-05,30
SITE-121,Synthetic Research Center 121,US,2026-07-13,30
SITE-122,Synthetic Research Center 122,CA,2026-07-30,30
SITE-123,Synthetic Research Center 123,GB,2026-04-20,30
SITE-124,Synthetic Research Center 124,DE,2026-06-27,30
SITE-125,Synthetic Research Center 125,IN,2026-04-20,30
SITE-126,Synthetic Research Center 126,AU,2026-06-10,30
SITE-127,Synthetic Research Center 127,BR,2026-08-23,30
SITE-128,Synthetic Research Center 128,JP,2026-06-28,30
SITE-129,Synthetic Research Center 129,US,2026-04-24,30
SITE-130,Synthetic Research Center 130,CA,2026-09-04,30
SITE-131,Synthetic Research Center 131,GB,2026-07-23,30
SITE-132,Synthetic Research Center 132,DE,2026-05-02,30
SITE-133,Synthetic Research Center 133,IN,2026-06-19,30
SITE-134,Synthetic Research Center 134,AU,2026-07-09,30
SITE-135,Synthetic Research Center 135,BR,2026-06-29,30
SITE-136,Synthetic Research Center 136,JP,2026-08-12,30
SITE-137,Synthetic Research Center 137,US,2026-05-18,30
SITE-138,Synthetic Research Center 138,CA,2026-07-01,30
SITE-139,Synthetic Research Center 139,GB,2026-05-20,30
SITE-140,Synthetic Research Center 140,DE,2026-07-13,30
SITE-141,Synthetic Research Center 141,IN,2026-08-09,30
SITE-142,Synthetic Research Center 142,AU,2026-07-01,30
SITE-143,Synthetic Research Center 143,BR,2026-08-10,30
SITE-144,Synthetic Research Center 144,JP,2026-05-12,30
SITE-145,Synthetic Research Center 145,US,2026-04-20,30
SITE-146,Synthetic Research Center 146,CA,2026-07-10,30
SITE-147,Synthetic Research Center 147,GB,2026-09-01,30
SITE-148,Synthetic Research Center 148,DE,2026-05-19,30
SITE-149,Synthetic Research Center 149,IN,2026-05-05,30
SITE-150,Synthetic Research Center 150,AU,2026-07-18,30
SITE-151,Synthetic Research Center 151,BR,2026-07-21,30
SITE-152,Synthetic Research Center 152,JP,2026-06-14,30
SITE-153,Synthetic Research Center 153,US,2026-06-25,30
SITE-154,Synthetic Research Center 154,CA,2026-06-15,30
SITE-155,Synthetic Research Center 155,GB,2026-05-23,30
SITE-156,Synthetic Research Center 156,DE,2026-05-23,30
SITE-157,Synthetic Research Center 157,IN,2026-06-22,30
SITE-158,Synthetic Research Center 158,AU,2026-06-25,30
SITE-159,Synthetic Research Center 159,BR,2026-06-30,30
SITE-160,Synthetic Research Center 160,JP,2026-08-31,30
SITE-161,Synthetic Research Center 161,US,2026-09-05,30
SITE-162,Synthetic Research Center 162,CA,2026-05-27,30
SITE-163,Synthetic Research Center 163,GB,2026-08-02,30
SITE-164,Synthetic Research Center 164,DE,2026-05-24,30
SITE-165,Synthetic Research Center 165,IN,2026-06-11,30
SITE-166,Synthetic Research Center 166,AU,2026-08-10,30
SITE-167,Synthetic Research Center 167,BR,2026-06-24,30
SITE-168,Synthetic Research Center 168,JP,2026-09-09,30
SITE-169,Synthetic Research Center 169,US,2026-06-21,30
SITE-170,Synthetic Research Center 170,CA,2026-06-27,30
SITE-171,Synthetic Research Center 171,GB,2026-06-09,30
SITE-172,Synthetic Research Center 172,DE,2026-08-19,30
SITE-173,Synthetic Research Center 173,IN,2026-08-03,30
SITE-174,Synthetic Research Center 174,AU,2026-08-07,30
SITE-175,Synthetic Research Center 175,BR,2026-08-17,30
SITE-176,Synthetic Research Center 176,JP,2026-06-18,30
SITE-177,Synthetic Research Center 177,US,2026-08-24,30
SITE-178,Synthetic Research Center 178,CA,2026-06-25,30
SITE-179,Synthetic Research Center 179,GB,2026-06-09,30
SITE-180,Synthetic Research Center 180,DE,2026-09-05,30
SITE-181,Synthetic Research Center 181,IN,2026-08-26,30
SITE-182,Synthetic Research Center 182,AU,2026-05-21,30
SITE-183,Synthetic Research Center 183,BR,2026-07-26,30
SITE-184,Synthetic Research Center 184,JP,2026-07-05,30
SITE-185,Synthetic Research Center 185,US,2026-07-25,30
SITE-186,Synthetic Research Center 186,CA,2026-07-08,30
SITE-187,Synthetic Research Center 187,GB,2026-06-29,30
SITE-188,Synthetic Research Center 188,DE,2026-05-12,30
SITE-189,Synthetic Research Center 189,IN,2026-09-06,30
SITE-190,Synthetic Research Center 190,AU,2026-08-29,30
SITE-191,Synthetic Research Center 191,BR,2026-05-30,30
SITE-192,Synthetic Research Center 192,JP,2026-07-09,30
SITE-193,Synthetic Research Center 193,US,2026-07-10,30
SITE-194,Synthetic Research Center 194,CA,2026-07-05,30
SITE-195,Synthetic Research Center 195,GB,2026-05-01,30
SITE-196,Synthetic Research Center 196,DE,2026-05-15,30
SITE-197,Synthetic Research Center 197,IN,2026-05-09,30
SITE-198,Synthetic Research Center 198,AU,2026-05-10,30
SITE-199,Synthetic Research Center 199,BR,2026-08-12,30
SITE-200,Synthetic Research Center 200,JP,2026-08-29,30
